#  STM32H743  This was auto-generated by make-af-csv.py
Port ,Pin  ,AF0              ,AF1                      ,AF2                   ,AF3                                   ,AF4                                      ,AF5                        ,AF6                               ,AF7                                      ,AF8                                          ,AF9                                                   ,AF10                                  ,AF11                                            ,AF12                             ,AF13                           ,AF14     ,AF15    ,ADC                      ,SYS
PortC,PC11 ,                 ,                         ,HRTIM_FLT2            ,DFSDM1_DATIN5                         ,                                         ,                           ,SPI3_MISO/I2S3_SDI                ,USART3_RX                                ,UART4_RX                                     ,QUADSPI_BK2_NCS                                       ,                                      ,                                                ,SDMMC1_D3                        ,DCMI_D4                        ,         ,EVENTOUT,                         ,
PortC,PC12 ,DEBUG_TRACED3    ,                         ,HRTIM_EEV2            ,                                      ,                                         ,                           ,SPI3_MOSI/I2S3_SDO                ,USART3_CK                                ,UART5_TX                                     ,                                                      ,                                      ,                                                ,SDMMC1_CK                        ,DCMI_D9                        ,         ,EVENTOUT,                         ,
PortC,PC13 ,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,EVENTOUT,                         ,PWR_WKUP4/RTC_OUT_ALARM/RTC_OUT_CALIB/RTC_TAMP1/RTC_TS
PortC,PC14 ,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,EVENTOUT,                         ,OSC32_IN
PortC,PC15 ,                 ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,EVENTOUT,                         ,OSC32_OUT
PortD,PD0  ,                 ,                         ,                      ,DFSDM1_CKIN6                          ,                                         ,                           ,SAI3_SCK_A                        ,                                         ,UART4_RX                                     ,FDCAN1_RX                                             ,                                      ,                                                ,FMC_D2/FMC_DA2                   ,                               ,         ,EVENTOUT,                         ,
PortD,PD1  ,                 ,                         ,                      ,DFSDM1_DATIN6                         ,                                         ,                           ,SAI3_SD_A                         ,                                         ,UART4_TX                                     ,FDCAN1_TX                                             ,                                      ,                                                ,FMC_D3/FMC_DA3                   ,                               ,         ,EVENTOUT,                         ,
PortD,PD2  ,DEBUG_TRACED2    ,                         ,TIM3_ETR              ,                                      ,                                         ,                           ,                                  ,                                         ,UART5_RX                                     ,                                                      ,                                      ,                                                ,SDMMC1_CMD                       ,DCMI_D11                       ,         ,EVENTOUT,                         ,
PortD,PD3  ,                 ,                         ,                      ,DFSDM1_CKOUT                          ,                                         ,SPI2_SCK/I2S2_CK           ,                                  ,USART2_CTS/USART2_NSS                    ,                                             ,                                                      ,                                      ,                                                ,FMC_CLK                          ,DCMI_D5                        ,LCD_G7   ,EVENTOUT,                         ,
PortD,PD4  ,                 ,                         ,HRTIM_FLT3            ,                                      ,                                         ,                           ,SAI3_FS_A                         ,USART2_RTS/USART2_DE                     ,                                             ,                                                      ,                                      ,                                                ,FMC_NOE                          ,                               ,         ,EVENTOUT,                         ,
PortD,PD5  ,                 ,                         ,HRTIM_EEV3            ,                                      ,                                         ,                           ,                                  ,USART2_TX                                ,                                             ,                                                      ,                                      ,                                                ,FMC_NWE                          ,                               ,         ,EVENTOUT,                         ,
