#  STM32N657  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0                    ,AF1                  ,AF2                             ,AF3                                ,AF4                              ,AF5                                    ,AF6                                      ,AF7                                                  ,AF8                                       ,AF9                                ,AF10                                                          ,AF11                                               ,AF12                      ,AF13         ,AF14           ,AF15        ,ADC                    ,SYS
PortC,PC3 ,                       ,                     ,                                ,                                   ,                                 ,SPI1_MOSI/I2S1_SDO                     ,                                         ,USART2_CK                                            ,SPDIFRX1_IN0                              ,DCMIPP_D2/DCMI_D2/PSSI_D2          ,                                                              ,SDMMC2_CMD                                         ,FMC_D8/FMC_DA8            ,             ,               ,EVENTOUT    ,                       ,
PortC,PC4 ,                       ,TIM1_CH2N            ,TIM12_CH1                       ,LPTIM2_CH2                         ,USART1_TX                        ,SPI2_MISO/I2S2_SDI                     ,                                         ,USART3_RTS/USART3_DE                                 ,UART4_RTS/UART4_DE                        ,                                   ,LCD_VSYNC                                                     ,SDMMC2_D0                                          ,FMC_NE1                   ,             ,LCD_DE         ,HDP_HDP6    ,                       ,
PortC,PC5 ,                       ,                     ,                                ,                                   ,                                 ,SPI1_NSS/I2S1_WS                       ,                                         ,                                                     ,                                          ,DCMIPP_D2/DCMI_D2/PSSI_D2          ,SAI2_SD_B                                                     ,SDMMC2_D1                                          ,FMC_NWE                   ,             ,               ,EVENTOUT    ,                       ,
PortC,PC6 ,                       ,TIM1_CH1             ,TIM3_CH1                        ,TIM9_CH1                           ,                                 ,I2S2_MCK                               ,                                         ,USART6_TX                                            ,                                          ,DCMIPP_D1/DCMI_D1/PSSI_D1          ,SDMMC1_D6                                                     ,SDMMC2_D6                                          ,SDMMC1_D0DIR              ,             ,               ,HDP_HDP6    ,                       ,
PortC,PC7 ,DEBUG_TRGIO            ,TIM16_CH1N           ,TIM3_CH2                        ,TIM9_CH2                           ,                                 ,                                       ,I2S3_MCK                                 ,USART6_RX                                            ,                                          ,DCMIPP_D1/DCMI_D1/PSSI_D1          ,SDMMC1_D7                                                     ,SDMMC2_D7                                          ,SDMMC1_D123DIR            ,             ,               ,HDP_HDP7    ,                       ,
PortC,PC8 ,DEBUG_TRACED1          ,                     ,TIM3_CH3                        ,                                   ,I2C3_SMBA                        ,                                       ,UCPD1_FRSTX                              ,USART6_CK                                            ,                                          ,DCMIPP_D2/DCMI_D2/PSSI_D2          ,SDMMC1_D0                                                     ,UART5_RTS/UART5_DE                                 ,FMC_NE4                   ,             ,LCD_B0         ,HDP_HDP0    ,                       ,
PortC,PC9 ,MCO_2                  ,                     ,TIM3_CH4                        ,                                   ,I2C3_SDA                         ,AUDIOCLK                               ,UCPD1_FRSTX                              ,USART6_RX                                            ,                                          ,DCMIPP_D3/DCMI_D3/PSSI_D3          ,SDMMC1_D1                                                     ,UART5_CTS                                          ,                          ,             ,LCD_B3         ,HDP_HDP1    ,                       ,
PortC,PC10,                       ,TIM1_BKIN            ,I3C2_SCL                        ,                                   ,I2C4_SCL                         ,                                       ,SPI3_SCK/I2S3_CK                         ,USART3_TX                                            ,UART4_TX                                  ,DCMIPP_D14/PSSI_D14                ,SDMMC1_D2                                                     ,                                                   ,FMC_CLK                   ,             ,               ,HDP_HDP2    ,                       ,
PortC,PC11,                       ,                     ,I3C2_SDA                        ,                                   ,I2C4_SDA                         ,                                       ,SPI3_MISO/I2S3_SDI                       ,USART3_RX                                            ,UART4_RX                                  ,DCMIPP_D4/DCMI_D4/PSSI_D4          ,SDMMC1_D3                                                     ,                                                   ,                          ,             ,               ,HDP_HDP3    ,                       ,
PortC,PC12,DEBUG_TRACED3          ,TIM1_CH4             ,                                ,                                   ,TIM15_CH1                        ,SPI6_SCK/I2S6_CK                       ,SPI3_MOSI/I2S3_SDO                       ,USART3_CK                                            ,                                          ,DCMIPP_D9/DCMI_D9/PSSI_D9          ,SDMMC1_CK                                                     ,UART5_TX                                           ,FMC_NL                    ,             ,               ,HDP_HDP4    ,                       ,
PortC,PC13,                       ,                     ,                                ,                                   ,                                 ,                                       ,                                         ,                                                     ,                                          ,                                   ,                                                              ,                                                   ,                          ,             ,               ,HDP_HDP5    ,                       ,PWR_WKUP3/RTC_OUT1/RTC_TS/TAMP_IN1/TAMP_OUT2
PortC,PC14,                       ,                     ,                                ,                                   ,                                 ,                                       ,                                         ,                                                     ,                                          ,                                   ,                                                              ,                                                   ,                          ,             ,               ,            ,                       ,OSC32_IN
PortC,PC15,                       ,                     ,                                ,                                   ,                                 ,                                       ,                                         ,                                                     ,                                          ,                                   ,                                                              ,                                                   ,                          ,             ,               ,            ,                       ,OSC32_OUT
PortD,PD0 ,                       ,TIM1_ETR             ,                                ,                                   ,                                 ,                                       ,FDCAN1_RX                                ,UART9_CTS                                            ,UART4_RX                                  ,PSSI_DE/DCMIPP_HSYNC/DCMI_HSYNC    ,                                                              ,                                                   ,FMC_A6                    ,             ,FMC_A22        ,EVENTOUT    ,                       ,
PortD,PD1 ,                       ,                     ,                                ,                                   ,                                 ,                                       ,FDCAN1_TX                                ,                                                     ,UART4_TX                                  ,                                   ,                                                              ,ETH1_MDC                                           ,FMC_A7                    ,             ,FMC_A23        ,EVENTOUT    ,                       ,
PortD,PD2 ,DEBUG_TRACED0          ,TIM1_CH3             ,SAI1_D1                         ,ADF1_SDI0                          ,MDF1_SDI1                        ,SPI2_MOSI/I2S2_SDO                     ,SAI1_SD_A                                ,TIM15_CH1N                                           ,                                          ,                                   ,MDIOS_MDC                                                     ,SDMMC2_CK                                          ,FMC_A0                    ,             ,FMC_A16/FMC_CLE,HDP_HDP1    ,                       ,PWR_WKUP4
PortD,PD3 ,                       ,                     ,                                ,                                   ,I2C2_SMBA                        ,                                       ,USART10_RX                               ,USART6_CTS                                           ,                                          ,DCMIPP_D14/PSSI_D14                ,                                                              ,ETH1_PHY_INTN                                      ,FMC_A10                   ,             ,               ,EVENTOUT    ,                       ,
