# This was auto-generated by make-af.csv.py
Port ,Pin ,AF0              ,AF1                ,AF2                       ,AF3                                  ,AF4                                           ,AF5                                             ,AF6                                                  ,AF7                                                 ,AF8                               ,AF9                                  ,AF10                                 ,AF11                                 ,AF12            ,AF13                 ,AF14                   ,AF15    ,ADC
PortD,PD8 ,                 ,                   ,                          ,                                     ,                                              ,                                                ,                                                     ,USART3_TX                                           ,                                  ,                                     ,                                     ,                                     ,FMC_D13/FMC_DA13,                     ,                       ,EVENTOUT,
PortD,PD9 ,                 ,                   ,                          ,                                     ,                                              ,                                                ,                                                     ,USART3_RX                                           ,                                  ,FDCAN2_RX                            ,                                     ,                                     ,FMC_D14/FMC_DA14,                     ,                       ,EVENTOUT,
PortD,PD10,                 ,                   ,                          ,LPTIM2_CH2                           ,                                              ,                                                ,                                                     ,USART3_CK                                           ,                                  ,                                     ,                                     ,                                     ,FMC_D15/FMC_DA15,                     ,                       ,EVENTOUT,
PortD,PD11,                 ,                   ,SAI1_CK1                  ,LPTIM2_IN2                           ,I2C4_SMBA                                     ,                                                ,                                                     ,USART3_CTS/USART3_NSS                               ,UART4_RX                          ,OCTOSPI1_IO0                         ,SAI2_SD_A                            ,                                     ,FMC_A16/FMC_CLE ,                     ,                       ,EVENTOUT,
PortD,PD12,                 ,LPTIM1_IN1         ,TIM4_CH1                  ,LPTIM2_IN1                           ,I2C4_SCL                                      ,I3C1_SCL                                        ,SAI1_D1                                              ,USART3_RTS                                          ,UART4_TX                          ,OCTOSPI1_IO1                         ,SAI2_FS_A                            ,                                     ,FMC_A17/FMC_ALE ,DCMI_D12/PSSI_D12    ,                       ,EVENTOUT,
PortD,PD13,                 ,LPTIM1_CH1         ,TIM4_CH2                  ,LPTIM2_CH1                           ,I2C4_SDA                                      ,I3C1_SDA                                        ,                                                     ,                                                    ,                                  ,OCTOSPI1_IO3                         ,SAI2_SCK_A                           ,UART9_RTS                            ,FMC_A18         ,DCMI_D13/PSSI_D13    ,LPTIM4_IN1             ,EVENTOUT,
PortD,PD14,                 ,                   ,TIM4_CH3                  ,                                     ,                                              ,                                                ,                                                     ,                                                    ,UART8_CTS                         ,                                     ,                                     ,UART9_RX                             ,FMC_D0/FMC_DA0  ,                     ,                       ,EVENTOUT,
PortD,PD15,                 ,                   ,TIM4_CH4                  ,                                     ,                                              ,                                                ,                                                     ,                                                    ,UART8_RTS                         ,                                     ,                                     ,UART9_TX                             ,FMC_D1/FMC_DA1  ,                     ,                       ,EVENTOUT,
PortE,PE0 ,                 ,LPTIM1_ETR         ,TIM4_ETR                  ,LPTIM2_CH2                           ,LPTIM2_ETR                                    ,                                                ,SPI3_RDY                                             ,                                                    ,UART8_RX                          ,FDCAN1_RX                            ,SAI2_MCLK_A                          ,                                     ,FMC_NBL0        ,DCMI_D2/PSSI_D2      ,                       ,EVENTOUT,
PortE,PE1 ,                 ,LPTIM1_IN2         ,                          ,                                     ,                                              ,                                                ,                                                     ,                                                    ,UART8_TX                          ,FDCAN1_TX                            ,                                     ,                                     ,FMC_NBL1        ,DCMI_D3/PSSI_D3      ,                       ,EVENTOUT,
